INFO   | jvm 2    | 2013/06/21 23:50:41 |  * script: <http://gov.spb.ru/static/gov/js/lib/jquery-1.7.2.min.js>
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * script: <http://gov.spb.ru/static/gov/pda/js/script.js>
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * img: <http://gov.spb.ru/static/gov/pda/images/logo.png> x (Официальный портал .)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * img: <http://mc.yandex.ru/watch/20068765> x ()
INFO   | jvm 2    | 2013/06/21 23:50:41 | 
INFO   | jvm 2    | 2013/06/21 23:50:41 | Imports: (1)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * link <http://gov.spb.ru/static/gov/pda/css/main.css> (stylesheet)
INFO   | jvm 2    | 2013/06/21 23:50:41 | 
INFO   | jvm 2    | 2013/06/21 23:50:41 | Links: (7)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * a: <http://gov.spb.ru/> ()
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * a: <http://gov.spb.ru/gov/otrasl/tr_infr_kom/tekobjekt/> (← Вернуться)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * a: <http://gov.spb.ru/gov/otrasl/tr_infr_kom/tekobjekt/> (← Вернуться)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * a: <http://pda.old.gov.spb.ru> (Архив сайта Администрации Санкт-Пе.)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * a: <http://gov.spb.ru/gov/otrasl/tr_infr_kom/tekobjekt/tek_rem/?pda=0> (Полная версия сайта)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * a: <http://vk.com/spb> ()
INFO   | jvm 2    | 2013/06/21 23:50:41 |  * a: <http://twitter.com/gov_spb> ()
INFO   | jvm 2    | 2013/06/21 23:50:41 | 
INFO   | jvm 2    | 2013/06/21 23:50:41 | Article: (0)
INFO   | jvm 2    | 2013/06/21 23:50:41 |  INFO [TaskExecutor-1] (ProviderServiceImpl.java:715) - Provider run of provider with ID urn:html finished
INFO   | jvm 2    | 2013/06/21 23:50:41 |  INFO [TaskExecutor-1] (ProviderServiceImpl.java:331) - Provider run finished
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [serviceMain] (IwbStart.java:125) - Exiting Information Workbench
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:284) - Shutting down IWB timers...
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (TimerRegistry.java:75) - Shutting down provider service timer
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (TimerRegistry.java:107) - Shutting down communication service timer
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:294) - Shutting down keyword search engine...
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:299) - Shutting down global data manager...
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:303) - Shutting down global repository...
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:313) - -> repository shut down.
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:320) - Shutting down global history repository...
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:334) - -> repository was shut down already.
INFO   | jvm 2    | 2013/06/21 23:55:51 |  INFO [Thread-12] (IwbStart.java:337) - Shutting down dynamic services
STATUS | wrapper  | 2013/06/21 23:55:53 | <-- Wrapper Stopped
